infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
nerver,nervant,nervant,nervé,avoir,nerve,nerves,nerve,nervons,nervez,nervent,nervais,nervais,nervait,nervions,nerviez,nervaient,nervai,nervas,nerva,nervâmes,nervâtes,nervèrent,nerverai,nerveras,nervera,nerverons,nerverez,nerveront,nerverais,nerverais,nerverait,nerverions,nerveriez,nerveraient,nerve,nerves,nerve,nervions,nerviez,nervent,nervasse,nervasses,nervât,nervassions,nervassiez,nervassent,,nerve,,nervons,nervez,
notifier,notifiant,notifiant,notifié,avoir,notifie,notifies,notifie,notifions,notifiez,notifient,notifiais,notifiais,notifiait,notifiions,notifiiez,notifiaient,notifiai,notifias,notifia,notifiâmes,notifiâtes,notifièrent,notifierai,notifieras,notifiera,notifierons,notifierez,notifieront,notifierais,notifierais,notifierait,notifierions,notifieriez,notifieraient,notifie,notifies,notifie,notifiions,notifiiez,notifient,notifiasse,notifiasses,notifiât,notifiassions,notifiassiez,notifiassent,,notifie,,notifions,notifiez,
minauder,minaudant,minaudant,minaudé,avoir,minaude,minaudes,minaude,minaudons,minaudez,minaudent,minaudais,minaudais,minaudait,minaudions,minaudiez,minaudaient,minaudai,minaudas,minauda,minaudâmes,minaudâtes,minaudèrent,minauderai,minauderas,minaudera,minauderons,minauderez,minauderont,minauderais,minauderais,minauderait,minauderions,minauderiez,minauderaient,minaude,minaudes,minaude,minaudions,minaudiez,minaudent,minaudasse,minaudasses,minaudât,minaudassions,minaudassiez,minaudassent,,minaude,,minaudons,minaudez,
observer,observant,observant,observé,avoir,observe,observes,observe,observons,observez,observent,observais,observais,observait,observions,observiez,observaient,observai,observas,observa,observâmes,observâtes,observèrent,observerai,observeras,observera,observerons,observerez,observeront,observerais,observerais,observerait,observerions,observeriez,observeraient,observe,observes,observe,observions,observiez,observent,observasse,observasses,observât,observassions,observassiez,observassent,,observe,,observons,observez,
navetter,navettant,navettant,navetté,avoir,navette,navettes,navette,navettons,navettez,navettent,navettais,navettais,navettait,navettions,navettiez,navettaient,navettai,navettas,navetta,navettâmes,navettâtes,navettèrent,navetterai,navetteras,navettera,navetterons,navetterez,navetteront,navetterais,navetterais,navetterait,navetterions,navetteriez,navetteraient,navette,navettes,navette,navettions,navettiez,navettent,navettasse,navettasses,navettât,navettassions,navettassiez,navettassent,,navette,,navettons,navettez,
noyer,noyant,noyant,noyé,avoir,noie,noies,noie,noyons,noyez,noient,noyais,noyais,noyait,noyions,noyiez,noyaient,noyai,noyas,noya,noyâmes,noyâtes,noyèrent,noierai,noieras,noiera,noierons,noierez,noieront,noierais,noierais,noierait,noierions,noieriez,noieraient,noie,noies,noie,noyions,noyiez,noient,noyasse,noyasses,noyât,noyassions,noyassiez,noyassent,,noie,,noyons,noyez,
miroiter,miroitant,miroitant,miroité,avoir,miroite,miroites,miroite,miroitons,miroitez,miroitent,miroitais,miroitais,miroitait,miroitions,miroitiez,miroitaient,miroitai,miroitas,miroita,miroitâmes,miroitâtes,miroitèrent,miroiterai,miroiteras,miroitera,miroiterons,miroiterez,miroiteront,miroiterais,miroiterais,miroiterait,miroiterions,miroiteriez,miroiteraient,miroite,miroites,miroite,miroitions,miroitiez,miroitent,miroitasse,miroitasses,miroitât,miroitassions,miroitassiez,miroitassent,,miroite,,miroitons,miroitez,
muscader,muscadant,muscadant,muscadé,avoir,muscade,muscades,muscade,muscadons,muscadez,muscadent,muscadais,muscadais,muscadait,muscadions,muscadiez,muscadaient,muscadai,muscadas,muscada,muscadâmes,muscadâtes,muscadèrent,muscaderai,muscaderas,muscadera,muscaderons,muscaderez,muscaderont,muscaderais,muscaderais,muscaderait,muscaderions,muscaderiez,muscaderaient,muscade,muscades,muscade,muscadions,muscadiez,muscadent,muscadasse,muscadasses,muscadât,muscadassions,muscadassiez,muscadassent,,muscade,,muscadons,muscadez,
musarder,musardant,musardant,musardé,avoir,musarde,musardes,musarde,musardons,musardez,musardent,musardais,musardais,musardait,musardions,musardiez,musardaient,musardai,musardas,musarda,musardâmes,musardâtes,musardèrent,musarderai,musarderas,musardera,musarderons,musarderez,musarderont,musarderais,musarderais,musarderait,musarderions,musarderiez,musarderaient,musarde,musardes,musarde,musardions,musardiez,musardent,musardasse,musardasses,musardât,musardassions,musardassiez,musardassent,,musarde,,musardons,musardez,
neutraliser,neutralisant,neutralisant,neutralisé,avoir,neutralise,neutralises,neutralise,neutralisons,neutralisez,neutralisent,neutralisais,neutralisais,neutralisait,neutralisions,neutralisiez,neutralisaient,neutralisai,neutralisas,neutralisa,neutralisâmes,neutralisâtes,neutralisèrent,neutraliserai,neutraliseras,neutralisera,neutraliserons,neutraliserez,neutraliseront,neutraliserais,neutraliserais,neutraliserait,neutraliserions,neutraliseriez,neutraliseraient,neutralise,neutralises,neutralise,neutralisions,neutralisiez,neutralisent,neutralisasse,neutralisasses,neutralisât,neutralisassions,neutralisassiez,neutralisassent,,neutralise,,neutralisons,neutralisez,
numéroter,numérotant,numérotant,numéroté,avoir,numérote,numérotes,numérote,numérotons,numérotez,numérotent,numérotais,numérotais,numérotait,numérotions,numérotiez,numérotaient,numérotai,numérotas,numérota,numérotâmes,numérotâtes,numérotèrent,numéroterai,numéroteras,numérotera,numéroterons,numéroterez,numéroteront,numéroterais,numéroterais,numéroterait,numéroterions,numéroteriez,numéroteraient,numérote,numérotes,numérote,numérotions,numérotiez,numérotent,numérotasse,numérotasses,numérotât,numérotassions,numérotassiez,numérotassent,,numérote,,numérotons,numérotez,
nieller,niellant,niellant,niellé,avoir,nielle,nielles,nielle,niellons,niellez,niellent,niellais,niellais,niellait,niellions,nielliez,niellaient,niellai,niellas,niella,niellâmes,niellâtes,niellèrent,niellerai,nielleras,niellera,niellerons,niellerez,nielleront,niellerais,niellerais,niellerait,niellerions,nielleriez,nielleraient,nielle,nielles,nielle,niellions,nielliez,niellent,niellasse,niellasses,niellât,niellassions,niellassiez,niellassent,,nielle,,niellons,niellez,
obliger,obligeant,obligeant,obligé,avoir,oblige,obliges,oblige,obligeons,obligez,obligent,obligeais,obligeais,obligeait,obligions,obligiez,obligeaient,obligeai,obligeas,obligea,obligeâmes,obligeâtes,obligèrent,obligerai,obligeras,obligera,obligerons,obligerez,obligeront,obligerais,obligerais,obligerait,obligerions,obligeriez,obligeraient,oblige,obliges,oblige,obligions,obligiez,obligent,obligeasse,obligeasses,obligeât,obligeassions,obligeassiez,obligeassent,,oblige,,obligeons,obligez,
meugler,meuglant,meuglant,meuglé,avoir,meugle,meugles,meugle,meuglons,meuglez,meuglent,meuglais,meuglais,meuglait,meuglions,meugliez,meuglaient,meuglai,meuglas,meugla,meuglâmes,meuglâtes,meuglèrent,meuglerai,meugleras,meuglera,meuglerons,meuglerez,meugleront,meuglerais,meuglerais,meuglerait,meuglerions,meugleriez,meugleraient,meugle,meugles,meugle,meuglions,meugliez,meuglent,meuglasse,meuglasses,meuglât,meuglassions,meuglassiez,meuglassent,,meugle,,meuglons,meuglez,
moucharder,mouchardant,mouchardant,mouchardé,avoir,moucharde,mouchardes,moucharde,mouchardons,mouchardez,mouchardent,mouchardais,mouchardais,mouchardait,mouchardions,mouchardiez,mouchardaient,mouchardai,mouchardas,moucharda,mouchardâmes,mouchardâtes,mouchardèrent,moucharderai,moucharderas,mouchardera,moucharderons,moucharderez,moucharderont,moucharderais,moucharderais,moucharderait,moucharderions,moucharderiez,moucharderaient,moucharde,mouchardes,moucharde,mouchardions,mouchardiez,mouchardent,mouchardasse,mouchardasses,mouchardât,mouchardassions,mouchardassiez,mouchardassent,,moucharde,,mouchardons,mouchardez,
miauler,miaulant,miaulant,miaulé,avoir,miaule,miaules,miaule,miaulons,miaulez,miaulent,miaulais,miaulais,miaulait,miaulions,miauliez,miaulaient,miaulai,miaulas,miaula,miaulâmes,miaulâtes,miaulèrent,miaulerai,miauleras,miaulera,miaulerons,miaulerez,miauleront,miaulerais,miaulerais,miaulerait,miaulerions,miauleriez,miauleraient,miaule,miaules,miaule,miaulions,miauliez,miaulent,miaulasse,miaulasses,miaulât,miaulassions,miaulassiez,miaulassent,,miaule,,miaulons,miaulez,
miner,minant,minant,miné,avoir,mine,mines,mine,minons,minez,minent,minais,minais,minait,minions,miniez,minaient,minai,minas,mina,minâmes,minâtes,minèrent,minerai,mineras,minera,minerons,minerez,mineront,minerais,minerais,minerait,minerions,mineriez,mineraient,mine,mines,mine,minions,miniez,minent,minasse,minasses,minât,minassions,minassiez,minassent,,mine,,minons,minez,
narguer,narguant,narguant,nargué,avoir,nargue,nargues,nargue,narguons,narguez,narguent,narguais,narguais,narguait,narguions,narguiez,narguaient,narguai,narguas,nargua,narguâmes,narguâtes,narguèrent,narguerai,nargueras,narguera,narguerons,narguerez,nargueront,narguerais,narguerais,narguerait,narguerions,nargueriez,nargueraient,nargue,nargues,nargue,narguions,narguiez,narguent,narguasse,narguasses,narguât,narguassions,narguassiez,narguassent,,nargue,,narguons,narguez,
moucher,mouchant,mouchant,mouché,avoir,mouche,mouches,mouche,mouchons,mouchez,mouchent,mouchais,mouchais,mouchait,mouchions,mouchiez,mouchaient,mouchai,mouchas,moucha,mouchâmes,mouchâtes,mouchèrent,moucherai,moucheras,mouchera,moucherons,moucherez,moucheront,moucherais,moucherais,moucherait,moucherions,moucheriez,moucheraient,mouche,mouches,mouche,mouchions,mouchiez,mouchent,mouchasse,mouchasses,mouchât,mouchassions,mouchassiez,mouchassent,,mouche,,mouchons,mouchez,
muer,muant,muant,mué,avoir,mue,mues,mue,muons,muez,muent,muais,muais,muait,muions,muiez,muaient,muai,muas,mua,muâmes,muâtes,muèrent,muerai,mueras,muera,muerons,muerez,mueront,muerais,muerais,muerait,muerions,mueriez,mueraient,mue,mues,mue,muions,muiez,muent,muasse,muasses,muât,muassions,muassiez,muassent,,mue,,muons,muez,
moufter,mouftant,mouftant,moufté,avoir,moufte,mouftes,moufte,mouftons,mouftez,mouftent,mouftais,mouftais,mouftait,mouftions,mouftiez,mouftaient,mouftai,mouftas,moufta,mouftâmes,mouftâtes,mouftèrent,moufterai,moufteras,mouftera,moufterons,moufterez,moufteront,moufterais,moufterais,moufterait,moufterions,moufteriez,moufteraient,moufte,mouftes,moufte,mouftions,mouftiez,mouftent,mouftasse,mouftasses,mouftât,mouftassions,mouftassiez,mouftassent,,moufte,,mouftons,mouftez,
obérer,obérant,obérant,obéré,avoir,obère,obères,obère,obérons,obérez,obèrent,obérais,obérais,obérait,obérions,obériez,obéraient,obérai,obéras,obéra,obérâmes,obérâtes,obérèrent,obèrerai;obérerai,obèreras;obéreras,obèrera;obérera,obèrerons;obérerons,obèrerez;obérerez,obèreront;obéreront,obèrerais;obérerais,obèrerais;obérerais,obèrerait;obérerait,obèrerions;obérerions,obèreriez;obéreriez,obèreraient;obéreraient,obère,obères,obère,obérions,obériez,obèrent,obérasse,obérasses,obérât,obérassions,obérassiez,obérassent,,obère,,obérons,obérez,
murir,murissant,murissant,muri,avoir,muris,muris,murit,murissons,murissez,murissent,murissais,murissais,murissait,murissions,murissiez,murissaient,muris,muris,murit,murîmes,murîtes,murirent,murirai,muriras,murira,murirons,murirez,muriront,murirais,murirais,murirait,muririons,muririez,muriraient,murisse,murisses,murisse,murissions,murissiez,murissent,murisse,murisses,murît,murissions,murissiez,murissent,,muris,,murissons,murissez,
moquer,moquant,moquant,moqué,avoir,moque,moques,moque,moquons,moquez,moquent,moquais,moquais,moquait,moquions,moquiez,moquaient,moquai,moquas,moqua,moquâmes,moquâtes,moquèrent,moquerai,moqueras,moquera,moquerons,moquerez,moqueront,moquerais,moquerais,moquerait,moquerions,moqueriez,moqueraient,moque,moques,moque,moquions,moquiez,moquent,moquasse,moquasses,moquât,moquassions,moquassiez,moquassent,,moque,,moquons,moquez,
mystifier,mystifiant,mystifiant,mystifié,avoir,mystifie,mystifies,mystifie,mystifions,mystifiez,mystifient,mystifiais,mystifiais,mystifiait,mystifiions,mystifiiez,mystifiaient,mystifiai,mystifias,mystifia,mystifiâmes,mystifiâtes,mystifièrent,mystifierai,mystifieras,mystifiera,mystifierons,mystifierez,mystifieront,mystifierais,mystifierais,mystifierait,mystifierions,mystifieriez,mystifieraient,mystifie,mystifies,mystifie,mystifiions,mystifiiez,mystifient,mystifiasse,mystifiasses,mystifiât,mystifiassions,mystifiassiez,mystifiassent,,mystifie,,mystifions,mystifiez,
nidifier,nidifiant,nidifiant,nidifié,avoir,nidifie,nidifies,nidifie,nidifions,nidifiez,nidifient,nidifiais,nidifiais,nidifiait,nidifiions,nidifiiez,nidifiaient,nidifiai,nidifias,nidifia,nidifiâmes,nidifiâtes,nidifièrent,nidifierai,nidifieras,nidifiera,nidifierons,nidifierez,nidifieront,nidifierais,nidifierais,nidifierait,nidifierions,nidifieriez,nidifieraient,nidifie,nidifies,nidifie,nidifiions,nidifiiez,nidifient,nidifiasse,nidifiasses,nidifiât,nidifiassions,nidifiassiez,nidifiassent,,nidifie,,nidifions,nidifiez,
obnubiler,obnubilant,obnubilant,obnubilé,avoir,obnubile,obnubiles,obnubile,obnubilons,obnubilez,obnubilent,obnubilais,obnubilais,obnubilait,obnubilions,obnubiliez,obnubilaient,obnubilai,obnubilas,obnubila,obnubilâmes,obnubilâtes,obnubilèrent,obnubilerai,obnubileras,obnubilera,obnubilerons,obnubilerez,obnubileront,obnubilerais,obnubilerais,obnubilerait,obnubilerions,obnubileriez,obnubileraient,obnubile,obnubiles,obnubile,obnubilions,obnubiliez,obnubilent,obnubilasse,obnubilasses,obnubilât,obnubilassions,obnubilassiez,obnubilassent,,obnubile,,obnubilons,obnubilez,
muter,mutant,mutant,muté,avoir,mute,mutes,mute,mutons,mutez,mutent,mutais,mutais,mutait,mutions,mutiez,mutaient,mutai,mutas,muta,mutâmes,mutâtes,mutèrent,muterai,muteras,mutera,muterons,muterez,muteront,muterais,muterais,muterait,muterions,muteriez,muteraient,mute,mutes,mute,mutions,mutiez,mutent,mutasse,mutasses,mutât,mutassions,mutassiez,mutassent,,mute,,mutons,mutez,
mollir,mollissant,mollissant,molli,avoir,mollis,mollis,mollit,mollissons,mollissez,mollissent,mollissais,mollissais,mollissait,mollissions,mollissiez,mollissaient,mollis,mollis,mollit,mollîmes,mollîtes,mollirent,mollirai,molliras,mollira,mollirons,mollirez,molliront,mollirais,mollirais,mollirait,mollirions,molliriez,molliraient,mollisse,mollisses,mollisse,mollissions,mollissiez,mollissent,mollisse,mollisses,mollît,mollissions,mollissiez,mollissent,,mollis,,mollissons,mollissez,
militariser,militarisant,militarisant,militarisé,avoir,militarise,militarises,militarise,militarisons,militarisez,militarisent,militarisais,militarisais,militarisait,militarisions,militarisiez,militarisaient,militarisai,militarisas,militarisa,militarisâmes,militarisâtes,militarisèrent,militariserai,militariseras,militarisera,militariserons,militariserez,militariseront,militariserais,militariserais,militariserait,militariserions,militariseriez,militariseraient,militarise,militarises,militarise,militarisions,militarisiez,militarisent,militarisasse,militarisasses,militarisât,militarisassions,militarisassiez,militarisassent,,militarise,,militarisons,militarisez,
moissonner,moissonnant,moissonnant,moissonné,avoir,moissonne,moissonnes,moissonne,moissonnons,moissonnez,moissonnent,moissonnais,moissonnais,moissonnait,moissonnions,moissonniez,moissonnaient,moissonnai,moissonnas,moissonna,moissonnâmes,moissonnâtes,moissonnèrent,moissonnerai,moissonneras,moissonnera,moissonnerons,moissonnerez,moissonneront,moissonnerais,moissonnerais,moissonnerait,moissonnerions,moissonneriez,moissonneraient,moissonne,moissonnes,moissonne,moissonnions,moissonniez,moissonnent,moissonnasse,moissonnasses,moissonnât,moissonnassions,moissonnassiez,moissonnassent,,moissonne,,moissonnons,moissonnez,
moraliser,moralisant,moralisant,moralisé,avoir,moralise,moralises,moralise,moralisons,moralisez,moralisent,moralisais,moralisais,moralisait,moralisions,moralisiez,moralisaient,moralisai,moralisas,moralisa,moralisâmes,moralisâtes,moralisèrent,moraliserai,moraliseras,moralisera,moraliserons,moraliserez,moraliseront,moraliserais,moraliserais,moraliserait,moraliserions,moraliseriez,moraliseraient,moralise,moralises,moralise,moralisions,moralisiez,moralisent,moralisasse,moralisasses,moralisât,moralisassions,moralisassiez,moralisassent,,moralise,,moralisons,moralisez,
morfler,morflant,morflant,morflé,avoir,morfle,morfles,morfle,morflons,morflez,morflent,morflais,morflais,morflait,morflions,morfliez,morflaient,morflai,morflas,morfla,morflâmes,morflâtes,morflèrent,morflerai,morfleras,morflera,morflerons,morflerez,morfleront,morflerais,morflerais,morflerait,morflerions,morfleriez,morfleraient,morfle,morfles,morfle,morflions,morfliez,morflent,morflasse,morflasses,morflât,morflassions,morflassiez,morflassent,,morfle,,morflons,morflez,
neiger,neigeant,neigeant,neigé,avoir,,,neige,,,,,,neigeait,,,,,,neigea,,,,,,neigera,,,,,,neigerait,,,,,,neige,,,,,,neigeât,,,,,,,,,
moudre,moulant,moulant,moulu,avoir,mouds,mouds,moud,moulons,moulez,moulent,moulais,moulais,moulait,moulions,mouliez,moulaient,moulus,moulus,moulut,moulûmes,moulûtes,moulurent,moudrai,moudras,moudra,moudrons,moudrez,moudront,moudrais,moudrais,moudrait,moudrions,moudriez,moudraient,moule,moules,moule,moulions,mouliez,moulent,moulusse,moulusses,moulût,moulussions,moulussiez,moulussent,,mouds,,moulons,moulez,
niveler,nivelant,nivelant,nivelé,avoir;être,nivèle,nivèles,nivèle,nivelons,nivelez,nivèlent,nivelais,nivelais,nivelait,nivelions,niveliez,nivelaient,nivelai,nivelas,nivela,nivelâmes,nivelâtes,nivelèrent,nivèlerai,nivèleras,nivèlera,nivèlerons,nivèlerez,nivèleront,nivèlerais,nivèlerais,nivèlerait,nivèlerions,nivèleriez,nivèleraient,nivèle,nivèles,nivèle,nivelions,niveliez,nivèlent,nivelasse,nivelasses,nivelât,nivelassions,nivelassiez,nivelassent,,nivèle,,nivelons,nivelez,
multiplier,multipliant,multipliant,multiplié,avoir;être,multiplie,multiplies,multiplie,multiplions,multipliez,multiplient,multipliais,multipliais,multipliait,multipliions,multipliiez,multipliaient,multipliai,multiplias,multiplia,multipliâmes,multipliâtes,multiplièrent,multiplierai,multiplieras,multipliera,multiplierons,multiplierez,multiplieront,multiplierais,multiplierais,multiplierait,multiplierions,multiplieriez,multiplieraient,multiplie,multiplies,multiplie,multipliions,multipliiez,multiplient,multipliasse,multipliasses,multipliât,multipliassions,multipliassiez,multipliassent,,multiplie,,multiplions,multipliez,
métaboliser,métabolisant,métabolisant,métabolisé,avoir,métabolise,métabolises,métabolise,métabolisons,métabolisez,métabolisent,métabolisais,métabolisais,métabolisait,métabolisions,métabolisiez,métabolisaient,métabolisai,métabolisas,métabolisa,métabolisâmes,métabolisâtes,métabolisèrent,métaboliserai,métaboliseras,métabolisera,métaboliserons,métaboliserez,métaboliseront,métaboliserais,métaboliserais,métaboliserait,métaboliserions,métaboliseriez,métaboliseraient,métabolise,métabolises,métabolise,métabolisions,métabolisiez,métabolisent,métabolisasse,métabolisasses,métabolisât,métabolisassions,métabolisassiez,métabolisassent,,métabolise,,métabolisons,métabolisez,
